season|round|url|raceName|Circuit|date|time|FirstPractice|SecondPractice|ThirdPractice|Qualifying
2023|1|https://en.wikipedia.org/wiki/2023_Bahrain_Grand_Prix|Bahrain Grand Prix|{'circuitId': 'bahrain', 'url': 'http://en.wikipedia.org/wiki/Bahrain_International_Circuit', 'circuitName': 'Bahrain International Circuit', 'Location': {'lat': '26.0325', 'long': '50.5106', 'locality': 'Sakhir', 'country': 'Bahrain'}}|2023-03-05|15:00:00Z|{'date': '2023-03-03', 'time': '11:30:00Z'}|{'date': '2023-03-03', 'time': '15:00:00Z'}|{'date': '2023-03-04', 'time': '11:30:00Z'}|{'date': '2023-03-04', 'time': '15:00:00Z'}
2023|2|https://en.wikipedia.org/wiki/2023_Saudi_Arabian_Grand_Prix|Saudi Arabian Grand Prix|{'circuitId': 'jeddah', 'url': 'http://en.wikipedia.org/wiki/Jeddah_Street_Circuit', 'circuitName': 'Jeddah Corniche Circuit', 'Location': {'lat': '21.6319', 'long': '39.1044', 'locality': 'Jeddah', 'country': 'Saudi Arabia'}}|2023-03-19|17:00:00Z|{'date': '2023-03-17', 'time': '13:30:00Z'}|{'date': '2023-03-17', 'time': '17:00:00Z'}|{'date': '2023-03-18', 'time': '13:30:00Z'}|{'date': '2023-03-18', 'time': '17:00:00Z'}
2023|3|https://en.wikipedia.org/wiki/2023_Australian_Grand_Prix|Australian Grand Prix|{'circuitId': 'albert_park', 'url': 'http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit', 'circuitName': 'Albert Park Grand Prix Circuit', 'Location': {'lat': '-37.8497', 'long': '144.968', 'locality': 'Melbourne', 'country': 'Australia'}}|2023-04-02|05:00:00Z|{'date': '2023-03-31', 'time': '01:30:00Z'}|{'date': '2023-03-31', 'time': '05:00:00Z'}|{'date': '2023-04-01', 'time': '01:30:00Z'}|{'date': '2023-04-01', 'time': '05:00:00Z'}
2023|4|https://en.wikipedia.org/wiki/2023_Azerbaijan_Grand_Prix|Azerbaijan Grand Prix|{'circuitId': 'baku', 'url': 'http://en.wikipedia.org/wiki/Baku_City_Circuit', 'circuitName': 'Baku City Circuit', 'Location': {'lat': '40.3725', 'long': '49.8533', 'locality': 'Baku', 'country': 'Azerbaijan'}}|2023-04-30|11:00:00Z|{'date': '2023-04-28', 'time': '09:30:00Z'}|{'date': '2023-04-28', 'time': '13:00:00Z'}|{'date': '2023-04-29', 'time': '09:30:00Z'}|{'date': '2023-04-29', 'time': '13:30:00Z'}
2023|5|https://en.wikipedia.org/wiki/2023_Miami_Grand_Prix|Miami Grand Prix|{'circuitId': 'miami', 'url': 'http://en.wikipedia.org/wiki/Miami_International_Autodrome', 'circuitName': 'Miami International Autodrome', 'Location': {'lat': '25.9581', 'long': '-80.2389', 'locality': 'Miami', 'country': 'USA'}}|2023-05-07|19:30:00Z|{'date': '2023-05-05', 'time': '18:00:00Z'}|{'date': '2023-05-05', 'time': '21:30:00Z'}|{'date': '2023-05-06', 'time': '16:30:00Z'}|{'date': '2023-05-06', 'time': '20:00:00Z'}
2023|6|https://en.wikipedia.org/wiki/2023_Monaco_Grand_Prix|Monaco Grand Prix|{'circuitId': 'monaco', 'url': 'http://en.wikipedia.org/wiki/Circuit_de_Monaco', 'circuitName': 'Circuit de Monaco', 'Location': {'lat': '43.7347', 'long': '7.42056', 'locality': 'Monte-Carlo', 'country': 'Monaco'}}|2023-05-28|13:00:00Z|{'date': '2023-05-26', 'time': '11:30:00Z'}|{'date': '2023-05-26', 'time': '15:00:00Z'}|{'date': '2023-05-27', 'time': '10:30:00Z'}|{'date': '2023-05-27', 'time': '14:00:00Z'}
2023|7|https://en.wikipedia.org/wiki/2023_Spanish_Grand_Prix|Spanish Grand Prix|{'circuitId': 'catalunya', 'url': 'http://en.wikipedia.org/wiki/Circuit_de_Barcelona-Catalunya', 'circuitName': 'Circuit de Barcelona-Catalunya', 'Location': {'lat': '41.57', 'long': '2.26111', 'locality': 'Montmeló', 'country': 'Spain'}}|2023-06-04|13:00:00Z|{'date': '2023-06-02', 'time': '11:30:00Z'}|{'date': '2023-06-02', 'time': '15:00:00Z'}|{'date': '2023-06-03', 'time': '10:30:00Z'}|{'date': '2023-06-03', 'time': '14:00:00Z'}
2023|8|https://en.wikipedia.org/wiki/2023_Canadian_Grand_Prix|Canadian Grand Prix|{'circuitId': 'villeneuve', 'url': 'http://en.wikipedia.org/wiki/Circuit_Gilles_Villeneuve', 'circuitName': 'Circuit Gilles Villeneuve', 'Location': {'lat': '45.5', 'long': '-73.5228', 'locality': 'Montreal', 'country': 'Canada'}}|2023-06-18|18:00:00Z|{'date': '2023-06-16', 'time': '17:30:00Z'}|{'date': '2023-06-16', 'time': '21:00:00Z'}|{'date': '2023-06-17', 'time': '16:30:00Z'}|{'date': '2023-06-17', 'time': '20:00:00Z'}
2023|9|https://en.wikipedia.org/wiki/2023_Austrian_Grand_Prix|Austrian Grand Prix|{'circuitId': 'red_bull_ring', 'url': 'http://en.wikipedia.org/wiki/Red_Bull_Ring', 'circuitName': 'Red Bull Ring', 'Location': {'lat': '47.2197', 'long': '14.7647', 'locality': 'Spielberg', 'country': 'Austria'}}|2023-07-02|13:00:00Z|{'date': '2023-06-30', 'time': '11:30:00Z'}|{'date': '2023-06-30', 'time': '15:00:00Z'}|{'date': '2023-07-01', 'time': '10:30:00Z'}|{'date': '2023-07-01', 'time': '14:30:00Z'}
2023|10|https://en.wikipedia.org/wiki/2023_British_Grand_Prix|British Grand Prix|{'circuitId': 'silverstone', 'url': 'http://en.wikipedia.org/wiki/Silverstone_Circuit', 'circuitName': 'Silverstone Circuit', 'Location': {'lat': '52.0786', 'long': '-1.01694', 'locality': 'Silverstone', 'country': 'UK'}}|2023-07-09|14:00:00Z|{'date': '2023-07-07', 'time': '11:30:00Z'}|{'date': '2023-07-07', 'time': '15:00:00Z'}|{'date': '2023-07-08', 'time': '10:30:00Z'}|{'date': '2023-07-08', 'time': '14:00:00Z'}
2023|11|https://en.wikipedia.org/wiki/2023_Hungarian_Grand_Prix|Hungarian Grand Prix|{'circuitId': 'hungaroring', 'url': 'http://en.wikipedia.org/wiki/Hungaroring', 'circuitName': 'Hungaroring', 'Location': {'lat': '47.5789', 'long': '19.2486', 'locality': 'Budapest', 'country': 'Hungary'}}|2023-07-23|13:00:00Z|{'date': '2023-07-21', 'time': '11:30:00Z'}|{'date': '2023-07-21', 'time': '15:00:00Z'}|{'date': '2023-07-22', 'time': '10:30:00Z'}|{'date': '2023-07-22', 'time': '14:00:00Z'}
2023|12|https://en.wikipedia.org/wiki/2023_Belgian_Grand_Prix|Belgian Grand Prix|{'circuitId': 'spa', 'url': 'http://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps', 'circuitName': 'Circuit de Spa-Francorchamps', 'Location': {'lat': '50.4372', 'long': '5.97139', 'locality': 'Spa', 'country': 'Belgium'}}|2023-07-30|13:00:00Z|{'date': '2023-07-28', 'time': '11:30:00Z'}|{'date': '2023-07-28', 'time': '15:00:00Z'}|{'date': '2023-07-29', 'time': '10:30:00Z'}|{'date': '2023-07-29', 'time': '14:30:00Z'}
2023|13|https://en.wikipedia.org/wiki/2023_Dutch_Grand_Prix|Dutch Grand Prix|{'circuitId': 'zandvoort', 'url': 'http://en.wikipedia.org/wiki/Circuit_Zandvoort', 'circuitName': 'Circuit Park Zandvoort', 'Location': {'lat': '52.3888', 'long': '4.54092', 'locality': 'Zandvoort', 'country': 'Netherlands'}}|2023-08-27|13:00:00Z|{'date': '2023-08-25', 'time': '10:30:00Z'}|{'date': '2023-08-25', 'time': '14:00:00Z'}|{'date': '2023-08-26', 'time': '09:30:00Z'}|{'date': '2023-08-26', 'time': '13:00:00Z'}
2023|14|https://en.wikipedia.org/wiki/2023_Italian_Grand_Prix|Italian Grand Prix|{'circuitId': 'monza', 'url': 'http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza', 'circuitName': 'Autodromo Nazionale di Monza', 'Location': {'lat': '45.6156', 'long': '9.28111', 'locality': 'Monza', 'country': 'Italy'}}|2023-09-03|13:00:00Z|{'date': '2023-09-01', 'time': '11:30:00Z'}|{'date': '2023-09-01', 'time': '15:00:00Z'}|{'date': '2023-09-02', 'time': '10:30:00Z'}|{'date': '2023-09-02', 'time': '14:00:00Z'}
